project,SampleID,clade,TreeCluster_combo,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
PRJNA1037681,SRR26779971,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7244699254025825,0.0,0.2755300745974175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779973,A.D.3.1,C6,0.0,0.0,0.0,0.0,0.0,0.19875332451875302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779974,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7140218961845151,0.0,0.28597810381548494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779976,A.D.3.1,C1+C6,0.1092118274566083,0.0,0.0,0.0,0.0,0.22155739852629872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779980,A.D.3.1,C4+C6,0.0,0.0,0.0,0.8081702482091332,0.0,0.19182975179086675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779981,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7289970914233345,0.0,0.2710029085766656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779985,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7421956932422757,0.0,0.2578043067577243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779989,A.D.3.1,C6+C7,0.0,0.0,0.0,0.0,0.0,0.28519252802168665,0.7148074719783134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779994,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7435829657337988,0.0,0.2564170342662013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780031,A.D.3.1,C4+C6,0.0,0.0,0.0,0.6314167403432303,0.0,0.36858325965676964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780033,A.D.3.1,C6,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780034,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7191127622041915,0.0,0.2808872377958085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780041,A.D.3.1,C1+C4+C6,0.09015448424142404,0.0,0.0,0.6946593790986114,0.0,0.21518613665996453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780042,A.D.3.1,C5+C6,0.0,0.0,0.0,0.0,0.6392916370598041,0.3607083629401958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780044,A.D.3.3,C2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780046,A.D.3,C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780048,A.D.3.1,C4+C6,0.0,0.0,0.0,0.5414835821019822,0.0,0.4585164178980177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780050,A.D.3,C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780067,A.D.3.1,C4+C6,0.0,0.0,0.0,0.5004746646779893,0.0,0.49952533532201066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780110,A.D.3,C3,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780112,A.D.3.1,C4+C6,0.0,0.0,0.0,0.5878352510678483,0.0,0.4121647489321518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780115,A.D.3.1,C5+C6,0.0,0.0,0.0,0.0,0.818700926769409,0.1812990732305911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780117,A.D.3,C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780119,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7895157527822605,0.0,0.21048424721773948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780123,A.D.3.1,C4+C6,0.0,0.0,0.0,0.8014507293795241,0.0,0.1985492706204759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780126,A.D.3.1,C4+C6,0.0,0.0,0.0,0.6474913086872748,0.0,0.35250869131272533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780127,A.D.3.1,C4+C6,0.0,0.0,0.0,0.6865493083437368,0.0,0.31345069165626327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780146,A.D.3.1,C4+C6,0.0,0.0,0.0,0.6778673526702345,0.0,0.32213264732976554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780187,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7130290484420749,0.0,0.2869709515579251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780205,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7336107991455065,0.0,0.2663892008544935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780206,A.D.3.1,C4+C6,0.0,0.0,0.0,0.6946174803270257,0.0,0.30538251967297425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780211,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7587321927000045,0.0,0.2412678072999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780213,A.D.3,C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780216,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7430072339107074,0.0,0.2569927660892926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780217,A.D.3.1,C6+C7,0.0,0.0,0.0,0.0,0.0,0.24146683038891778,0.7585331696110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780219,A.D.3.1,C4+C6,0.0,0.0,0.0,0.8391451285185958,0.0,0.1608548714814041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780237,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7179327107350938,0.0,0.2820672892649062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679704,A.D.5.2,C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679706,A.D.3.2,C6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679709,A.D.5.2,C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679712,A.D.1.8,C2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679713,A.D.1.5,C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679716,A.D.1.5,C18+C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25430314988503316,0.0,0.0,0.7456968501149668,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679720,A.D.3,C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679721,A.D.1,C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679723,A.D.1.5,C18+C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24868770184554714,0.0,0.0,0.7513122981544529,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679728,A.D.1.5,C18+C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24755799386801214,0.0,0.0,0.7524420061319879,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679729,A.D.1.5,C18+C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137706882550839,0.0,0.0,0.6862293117449161,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679731,A.D.3,C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679732,A.D.1.6,C4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1130896,SRR29679737,A.D.5.2,C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRJNA1130896,SRR29679738,A.D.1.5,C18+C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24395874715635568,0.0,0.0,0.7560412528436443,0.0,0.0,0.0,0.0,0.0
